Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2011-2012,Anton Lander,Edmonton,56,482:23:00,1,4,0,5,47,60,76,2.13,0.12,0.5,0,0.62,5.85,7.46,9.45,10,40,50,0,0
2015-2016,Anton Lander,Edmonton,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Anton Stralman,Tampa Bay,82,1270:58:00,6,15,7,21,112,150,213,5.36,0.28,0.71,0.33,0.99,5.29,7.08,10.06,8.6,21.4,30,0,0
2013-2014,Anton Stralman,New York Rangers,81,1356:17:00,1,12,4,13,90,114,177,1.11,0.04,0.53,0.18,0.58,3.98,5.04,7.83,2,23.5,25.5,0,0
2012-2013,Anton Stralman,New York Rangers,48,743:54:00,4,4,2,8,56,78,131,7.14,0.32,0.32,0.16,0.65,4.52,6.29,10.57,10.3,10.3,20.5,0,0
2011-2012,Anton Stralman,New York Rangers,53,776:17:00,2,9,4,11,44,58,88,4.55,0.15,0.7,0.31,0.85,3.4,4.48,6.8,6.7,30,36.7,0,0
2010-2011,Anton Stralman,Columbus,51,790:04:00,0,7,3,7,48,75,109,0,0,0.53,0.23,0.53,3.65,5.7,8.28,0,29.2,29.2,0,0
2015-2016,Anton Stralman,Tampa Bay,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Anton Volchenkov,Nashville,46,551:16:00,0,7,1,7,34,50,77,0,0,0.76,0.11,0.76,3.7,5.44,8.38,0,29.2,29.2,0,0
2013-2014,Anton Volchenkov,New Jersey,56,712:31:00,0,6,5,6,41,73,111,0,0,0.51,0.42,0.51,3.45,6.15,9.35,0,27.3,27.3,0,0
2012-2013,Anton Volchenkov,New Jersey,37,473:41:00,1,4,1,5,37,55,72,2.7,0.13,0.51,0.13,0.63,4.69,6.97,9.12,8.3,33.3,41.7,0,0
2011-2012,Anton Volchenkov,New Jersey,72,1034:23:00,2,8,4,10,60,89,142,3.33,0.12,0.46,0.23,0.58,3.48,5.16,8.24,6.2,25,31.2,0,0
2010-2011,Anton Volchenkov,New Jersey,57,877:13:00,0,7,4,7,62,87,123,0,0,0.48,0.27,0.48,4.24,5.95,8.41,0,23.3,23.3,0,0
2012-2013,Antti Miettinen,Winnipeg,22,262:40:00,3,2,0,5,25,35,45,12,0.69,0.46,0,1.14,5.71,7.99,10.28,25,16.7,41.7,0,0
2011-2012,Antti Miettinen,Winnipeg,45,442:09:00,3,5,3,8,48,65,89,6.25,0.41,0.68,0.41,1.09,6.51,8.82,12.08,25,41.7,66.7,0,0
2010-2011,Antti Miettinen,Minnesota,73,904:17:00,7,11,4,18,122,165,209,5.74,0.46,0.73,0.27,1.19,8.09,10.95,13.87,28,44,72,0,0
2015-2016,Antti Niemi,Dallas,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Antti Niemi,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,
2013-2014,Antti Niemi,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913,
2012-2013,Antti Niemi,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,
2011-2012,Antti Niemi,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915,
2010-2011,Antti Niemi,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,
2015-2016,Antti Raanta,New York Rangers,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Antti Raanta,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936,1
2013-2014,Antti Raanta,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,
2014-2015,Anze Kopitar,Los Angeles,79,1083:55:00,9,24,15,33,99,136,178,9.09,0.5,1.33,0.83,1.83,5.48,7.53,9.85,20.5,54.5,75,0,0
2013-2014,Anze Kopitar,Los Angeles,82,1169:11:00,18,20,12,38,140,183,234,12.86,0.92,1.03,0.62,1.95,7.18,9.39,12.01,32.1,35.7,67.9,0,1
2012-2013,Anze Kopitar,Los Angeles,47,706:54:00,10,14,10,24,76,108,130,13.16,0.85,1.19,0.85,2.04,6.45,9.17,11.03,28.6,40,68.6,0,0
2011-2012,Anze Kopitar,Los Angeles,82,1189:28:00,14,27,16,41,151,214,274,9.27,0.71,1.36,0.81,2.07,7.62,10.79,13.82,26.4,50.9,77.4,0,1
2010-2011,Anze Kopitar,Los Angeles,75,1113:48:00,17,33,22,50,151,209,269,11.26,0.92,1.78,1.19,2.69,8.13,11.26,14.49,27.9,54.1,82,0,0
2015-2016,Anze Kopitar,Los Angeles,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Arron Asham,New York Rangers,27,174:43:00,2,0,0,2,14,17,23,14.29,0.69,0,0,0.69,4.81,5.84,7.9,50,0,50,0,0
2011-2012,Arron Asham,Pittsburgh,64,583:39:00,5,11,9,16,49,67,90,10.2,0.51,1.13,0.93,1.64,5.04,6.89,9.25,21.7,47.8,69.6,0,0
2010-2011,Arron Asham,Pittsburgh,44,418:15:00,5,6,4,11,60,66,81,8.33,0.72,0.86,0.57,1.58,8.61,9.47,11.62,35.7,42.9,78.6,0,0
2014-2015,Artem Anisimov,Columbus,52,627:14:00,6,12,8,18,67,100,131,8.96,0.57,1.15,0.77,1.72,6.41,9.57,12.53,25,50,75,0,0
2013-2014,Artem Anisimov,Columbus,81,945:20:00,17,13,7,30,115,166,223,14.78,1.08,0.83,0.44,1.9,7.3,10.54,14.15,45.9,35.1,81.1,0,0
2012-2013,Artem Anisimov,Columbus,35,427:18:00,9,6,3,15,49,63,88,18.37,1.26,0.84,0.42,2.11,6.88,8.85,12.36,56.2,37.5,93.8,0,0
2011-2012,Artem Anisimov,New York Rangers,79,962:01:00,10,17,10,27,102,144,195,9.8,0.62,1.06,0.62,1.68,6.36,8.98,12.16,27,45.9,73,0,0
2010-2011,Artem Anisimov,New York Rangers,82,1030:32:00,14,20,11,34,149,201,261,9.4,0.82,1.16,0.64,1.98,8.68,11.7,15.2,31.8,45.5,77.3,0,0
2015-2016,Artem Anisimov,Chicago,,,,,,,,,,,,,,,,,,,,,,
2015-2016,Artemi Panarin,Chicago,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Arturs Kulda,Winnipeg,9,96:18:00,0,0,0,0,8,11,14,0,0,0,0,0,4.98,6.85,8.72,0,0,0,0,0
2012-2013,Austin Watson,Nashville,6,66:22:00,1,0,0,1,4,8,11,25,0.9,0,0,0.9,3.62,7.23,9.94,50,0,50,0,0
2015-2016,Austin Watson,Nashville,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Barclay Goodrow,San Jose,60,606:35:00,4,7,6,11,63,86,120,6.35,0.4,0.69,0.59,1.09,6.23,8.51,11.87,23.5,41.2,64.7,0,0
2014-2015,Barret Jackman,St. Louis,80,1129:44:00,2,11,5,13,78,103,148,2.56,0.11,0.58,0.27,0.69,4.14,5.47,7.86,5.4,29.7,35.1,0,0
2013-2014,Barret Jackman,St. Louis,79,1174:15:00,2,12,6,14,72,104,147,2.78,0.1,0.61,0.31,0.72,3.68,5.31,7.51,4.2,25,29.2,0,0
2012-2013,Barret Jackman,St. Louis,46,722:24:00,3,6,3,9,35,44,78,8.57,0.25,0.5,0.25,0.75,2.91,3.65,6.48,9.7,19.4,29,0,0
2011-2012,Barret Jackman,St. Louis,81,1307:41:00,1,10,4,11,75,110,164,1.33,0.05,0.46,0.18,0.5,3.44,5.05,7.52,2.2,22.2,24.4,0,0
2010-2011,Barret Jackman,St. Louis,60,1033:06:00,0,9,3,9,60,85,139,0,0,0.52,0.17,0.52,3.48,4.94,8.07,0,20,20,0,0
2015-2016,Barret Jackman,Nashville,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Beau Bennett,Pittsburgh,49,561:05:00,4,8,6,12,72,98,128,5.56,0.43,0.86,0.64,1.28,7.7,10.48,13.69,20,40,60,0,0
2013-2014,Beau Bennett,Pittsburgh,21,255:15:00,2,3,2,5,23,31,42,8.7,0.47,0.71,0.47,1.18,5.41,7.29,9.87,25,37.5,62.5,0,0
2012-2013,Beau Bennett,Pittsburgh,26,273:26:00,2,7,4,9,25,38,45,8,0.44,1.54,0.88,1.97,5.49,8.34,9.87,14.3,50,64.3,0,0
2015-2016,Beau Bennett,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2015-2016,Ben Bishop,Tampa Bay,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Ben Bishop,Tampa Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916,
2013-2014,Ben Bishop,Tampa Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,
