Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2013-2014,Clayton Stoner,Minnesota,63,745:26:00,1,4,2,5,46,59,95,2.17,0.08,0.32,0.16,0.4,3.7,4.75,7.65,5.3,21.1,26.3,0,0
2012-2013,Clayton Stoner,Minnesota,48,768:28:00,0,9,2,9,36,55,88,0,0,0.7,0.16,0.7,2.81,4.29,6.87,0,32.1,32.1,0,0
2011-2012,Clayton Stoner,Minnesota,51,786:27:00,1,2,1,3,40,65,92,2.5,0.08,0.15,0.08,0.23,3.05,4.96,7.02,3.8,7.7,11.5,0,0
2010-2011,Clayton Stoner,Minnesota,57,821:08:00,2,7,2,9,36,58,92,5.56,0.15,0.51,0.15,0.66,2.63,4.24,6.72,8.3,29.2,37.5,0,0
2015-2016,Clayton Stoner,Anaheim,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Cody Almond,Minnesota,10,90:47:00,1,0,0,1,7,9,13,14.29,0.66,0,0,0.66,4.63,5.95,8.59,100,0,100,0,0
2010-2011,Cody Almond,Minnesota,8,55:13:00,0,0,0,0,3,4,5,0,0,0,0,0,3.26,4.35,5.43,0,0,0,0,0
2011-2012,Cody Bass,Columbus,14,113:19:00,0,1,1,1,13,13,15,0,0,0.53,0.53,0.53,6.88,6.88,7.94,0,33.3,33.3,0,0
2014-2015,Cody Ceci,Ottawa,81,1200:57:00,4,12,5,16,103,139,199,3.88,0.2,0.6,0.25,0.8,5.15,6.94,9.94,9.5,28.6,38.1,0,0
2013-2014,Cody Ceci,Ottawa,49,649:05:00,2,6,4,8,63,88,131,3.17,0.18,0.55,0.37,0.74,5.82,8.13,12.11,7.4,22.2,29.6,0,0
2015-2016,Cody Ceci,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cody Eakin,Dallas,78,1016:09:00,13,15,3,28,112,162,214,11.61,0.77,0.89,0.18,1.65,6.61,9.57,12.64,27.7,31.9,59.6,0,0
2013-2014,Cody Eakin,Dallas,81,1035:39:00,10,13,7,23,101,150,217,9.9,0.58,0.75,0.41,1.33,5.85,8.69,12.57,31.2,40.6,71.9,0,0
2012-2013,Cody Eakin,Dallas,48,562:08:00,4,17,9,21,56,68,97,7.14,0.43,1.81,0.96,2.24,5.98,7.26,10.35,16,68,84,0,0
2011-2012,Cody Eakin,Washington,30,266:43:00,4,4,1,8,30,36,49,13.33,0.9,0.9,0.23,1.8,6.75,8.1,11.02,33.3,33.3,66.7,0,0
2015-2016,Cody Eakin,Dallas,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cody Franson,Nashville,78,1146:26:00,2,15,8,17,84,122,172,2.38,0.1,0.79,0.42,0.89,4.4,6.38,9,3.8,28.8,32.7,0,0
2013-2014,Cody Franson,Toronto,79,1202:39:00,4,10,5,14,63,107,168,6.35,0.2,0.5,0.25,0.7,3.14,5.34,8.38,8.9,22.2,31.1,0,0
2012-2013,Cody Franson,Toronto,45,647:45:00,1,15,6,16,39,60,80,2.56,0.09,1.39,0.56,1.48,3.61,5.56,7.41,2.5,37.5,40,0,0
2011-2012,Cody Franson,Toronto,57,805:46:00,3,10,4,13,44,66,127,6.82,0.22,0.74,0.3,0.97,3.28,4.91,9.46,9.7,32.3,41.9,0,0
2010-2011,Cody Franson,Nashville,80,1020:24:00,5,17,11,22,115,162,221,4.35,0.29,1,0.65,1.29,6.76,9.53,12.99,12.5,42.5,55,0,0
2014-2015,Cody Goloubef,Columbus,36,516:49:00,0,8,4,8,22,46,64,0,0,0.93,0.46,0.93,2.55,5.34,7.43,0,34.8,34.8,0,0
2012-2013,Cody Goloubef,Columbus,11,151:41:00,1,0,0,1,11,13,14,9.09,0.4,0,0,0.4,4.35,5.14,5.54,33.3,0,33.3,0,0
2015-2016,Cody Goloubef,Columbus,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cody Hodgson,Buffalo,78,872:00:00,6,6,5,12,106,141,190,5.66,0.41,0.41,0.34,0.83,7.29,9.7,13.07,33.3,33.3,66.7,0,0
2013-2014,Cody Hodgson,Buffalo,72,983:35:00,9,13,9,22,121,154,211,7.44,0.55,0.79,0.55,1.34,7.38,9.39,12.87,34.6,50,84.6,0,0
2012-2013,Cody Hodgson,Buffalo,48,639:57:00,10,12,8,22,83,103,139,12.05,0.94,1.13,0.75,2.06,7.78,9.66,13.03,33.3,40,73.3,0,0
2011-2012,Cody Hodgson,Buffalo,83,916:16:00,11,15,8,26,110,143,187,10,0.72,0.98,0.52,1.7,7.2,9.36,12.25,28.9,39.5,68.4,0,0
2010-2011,Cody Hodgson,Vancouver,8,55:41:00,1,1,0,2,8,11,16,12.5,1.08,1.08,0,2.15,8.62,11.85,17.24,50,50,100,0,0
2015-2016,Cody Hodgson,Nashville,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cody Mccormick,Buffalo,33,308:19:00,0,3,3,3,27,35,47,0,0,0.58,0.58,0.58,5.25,6.81,9.15,0,60,60,0,0
2013-2014,Cody Mccormick,Minnesota,43,322:07:00,2,4,3,6,22,31,42,9.09,0.37,0.75,0.56,1.12,4.1,5.77,7.82,22.2,44.4,66.7,0,0
2011-2012,Cody Mccormick,Buffalo,50,387:23:00,1,3,2,4,42,63,86,2.38,0.15,0.46,0.31,0.62,6.51,9.76,13.32,20,60,80,0,0
2010-2011,Cody Mccormick,Buffalo,81,852:09:00,8,10,7,18,104,131,182,7.69,0.56,0.7,0.49,1.27,7.32,9.22,12.81,27.6,34.5,62.1,0,0
2015-2016,Cody Mccormick,Buffalo,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cody Mcleod,Colorado,82,743:30:00,6,4,1,10,77,93,109,7.79,0.48,0.32,0.08,0.81,6.21,7.5,8.8,26.1,17.4,43.5,0,0
2013-2014,Cody Mcleod,Colorado,71,618:20:00,4,7,4,11,72,84,104,5.56,0.39,0.68,0.39,1.07,6.99,8.15,10.09,23.5,41.2,64.7,0,0
2012-2013,Cody Mcleod,Colorado,48,526:57:00,7,3,2,10,69,99,114,10.14,0.8,0.34,0.23,1.14,7.86,11.27,12.98,46.7,20,66.7,0,0
2011-2012,Cody Mcleod,Colorado,75,523:15:00,6,5,1,11,61,86,104,9.84,0.69,0.57,0.11,1.26,6.99,9.86,11.93,37.5,31.2,68.8,0,0
2010-2011,Cody Mcleod,Colorado,71,640:40:00,3,3,1,6,66,86,108,4.55,0.28,0.28,0.09,0.56,6.18,8.05,10.11,16.7,16.7,33.3,0,0
2015-2016,Cody Mcleod,Colorado,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Colby Armstrong,Montreal,37,340:20:00,2,2,1,4,29,38,46,6.9,0.35,0.35,0.18,0.71,5.11,6.7,8.11,22.2,22.2,44.4,0,0
2011-2012,Colby Armstrong,Toronto,29,259:10:00,1,2,0,3,14,19,26,7.14,0.23,0.46,0,0.69,3.24,4.4,6.02,25,50,75,0,0
2010-2011,Colby Armstrong,Toronto,50,651:39:00,8,15,9,23,61,83,104,13.11,0.74,1.38,0.83,2.12,5.62,7.64,9.58,25.8,48.4,74.2,0,0
2014-2015,Colby Robak,Anaheim,12,155:13:00,0,1,0,1,8,12,16,0,0,0.39,0,0.39,3.09,4.64,6.18,0,14.3,14.3,0,0
2013-2014,Colby Robak,Florida,16,246:37:00,0,1,1,1,14,16,24,0,0,0.24,0.24,0.24,3.41,3.89,5.84,0,20,20,0,0
2012-2013,Colby Robak,Florida,16,211:49:00,0,1,1,1,8,13,28,0,0,0.28,0.28,0.28,2.27,3.68,7.93,0,12.5,12.5,0,0
2013-2014,Colin Fraser,Los Angeles,33,272:20:00,0,2,2,2,20,31,39,0,0,0.44,0.44,0.44,4.41,6.83,8.59,0,100,100,0,1
2012-2013,Colin Fraser,Los Angeles,34,291:56:00,2,5,4,7,18,25,38,11.11,0.41,1.03,0.82,1.44,3.7,5.14,7.81,22.2,55.6,77.8,0,0
2011-2012,Colin Fraser,Los Angeles,67,559:09:00,2,6,1,8,53,70,94,3.77,0.21,0.64,0.11,0.86,5.69,7.51,10.09,15.4,46.2,61.5,0,1
2010-2011,Colin Fraser,Edmonton,67,490:43:00,2,1,1,3,49,56,75,4.08,0.24,0.12,0.12,0.37,5.99,6.85,9.17,18.2,9.1,27.3,0,0
2014-2015,Colin Greening,Ottawa,26,251:39:00,0,0,0,0,39,48,62,0,0,0,0,0,9.3,11.44,14.78,0,0,0,0,0
2013-2014,Colin Greening,Ottawa,76,889:41:00,3,9,6,12,95,133,164,3.16,0.2,0.61,0.4,0.81,6.41,8.97,11.06,12.5,37.5,50,0,0
2012-2013,Colin Greening,Ottawa,47,586:30:00,4,7,4,11,67,99,123,5.97,0.41,0.72,0.41,1.13,6.85,10.13,12.58,20,35,55,0,0
2011-2012,Colin Greening,Ottawa,82,1099:31:00,13,13,7,26,149,193,243,8.72,0.71,0.71,0.38,1.42,8.13,10.53,13.26,28.9,28.9,57.8,0,0
2010-2011,Colin Greening,Ottawa,24,314:43:00,6,6,3,12,53,68,82,11.32,1.14,1.14,0.57,2.29,10.1,12.96,15.63,37.5,37.5,75,0,0
2015-2016,Colin Greening,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Colin Mcdonald,New York Islanders,18,184:56:00,2,6,4,8,28,38,47,7.14,0.65,1.95,1.3,2.6,9.08,12.33,15.25,25,75,100,0,0
2013-2014,Colin Mcdonald,New York Islanders,70,812:18:00,8,9,6,17,93,126,155,8.6,0.59,0.66,0.44,1.26,6.87,9.31,11.45,32,36,68,0,0
2012-2013,Colin Mcdonald,New York Islanders,45,494:44:00,5,9,5,14,79,97,123,6.33,0.61,1.09,0.61,1.7,9.58,11.76,14.92,26.3,47.4,73.7,0,0
2015-2016,Colin Mcdonald,Philadelphia,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Colin White,San Jose,54,693:05:00,1,3,1,4,33,43,69,3.03,0.09,0.26,0.09,0.35,2.86,3.72,5.97,5,15,20,0,0
2010-2011,Colin White,New Jersey,69,1063:28:00,0,5,1,5,46,59,89,0,0,0.28,0.06,0.28,2.6,3.33,5.02,0,16.7,16.7,0,0
2014-2015,Colin Wilson,Nashville,77,994:15:00,16,17,14,33,132,169,224,12.12,0.97,1.03,0.84,1.99,7.97,10.2,13.52,34,36.2,70.2,0,0
2013-2014,Colin Wilson,Nashville,81,1062:36:00,9,16,10,25,93,130,164,9.68,0.51,0.9,0.56,1.41,5.25,7.34,9.26,24.3,43.2,67.6,0,0
2012-2013,Colin Wilson,Nashville,25,327:23:00,4,7,5,11,19,36,46,21.05,0.73,1.28,0.92,2.02,3.48,6.6,8.43,30.8,53.8,84.6,0,0
2011-2012,Colin Wilson,Nashville,68,895:24:00,9,12,7,21,84,114,141,10.71,0.6,0.8,0.47,1.41,5.63,7.64,9.45,24.3,32.4,56.8,0,0
2010-2011,Colin Wilson,Nashville,82,928:53:00,14,14,12,28,79,107,146,17.72,0.9,0.9,0.78,1.81,5.1,6.91,9.43,37.8,37.8,75.7,0,0
2015-2016,Colin Wilson,Nashville,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Colten Teubert,Edmonton,24,292:18:00,0,1,1,1,13,18,33,0,0,0.21,0.21,0.21,2.67,3.69,6.77,0,12.5,12.5,0,0
2012-2013,Colton Gillies,Columbus,27,222:50:00,1,1,1,2,16,17,25,6.25,0.27,0.27,0.27,0.54,4.31,4.58,6.73,25,25,50,0,0
2011-2012,Colton Gillies,Columbus,75,693:21:00,1,6,3,7,46,69,92,2.17,0.09,0.52,0.26,0.61,3.98,5.97,7.96,8.3,50,58.3,0,0
2010-2011,Colton Gillies,Minnesota,7,67:40:00,1,0,0,1,2,5,6,50,0.89,0,0,0.89,1.77,4.43,5.32,100,0,100,0,0
2013-2014,Colton Orr,Toronto,54,287:27:00,0,0,0,0,12,22,27,0,0,0,0,0,2.5,4.59,5.64,0,0,0,0,0
2012-2013,Colton Orr,Toronto,44,278:46:00,1,3,2,4,13,16,24,7.69,0.22,0.65,0.43,0.86,2.8,3.44,5.17,11.1,33.3,44.4,0,0
2010-2011,Colton Orr,Toronto,46,230:38:00,2,0,0,2,13,19,26,15.38,0.52,0,0,0.52,3.38,4.94,6.76,40,0,40,0,0
2014-2015,Colton Sceviour,Dallas,71,789:03:00,9,13,5,22,97,148,203,9.28,0.68,0.99,0.38,1.67,7.38,11.25,15.44,25.7,37.1,62.9,0,0
2013-2014,Colton Sceviour,Dallas,26,314:40:00,6,4,1,10,55,72,83,10.91,1.14,0.76,0.19,1.91,10.49,13.73,15.83,42.9,28.6,71.4,0,0
2015-2016,Colton Sceviour,Dallas,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Colton Sissons,Nashville,17,167:08:00,1,3,2,4,12,18,20,8.33,0.36,1.08,0.72,1.44,4.31,6.46,7.18,16.7,50,66.7,0,0
2013-2014,Connor Carrick,Washington,34,480:50:00,1,5,0,6,19,34,63,5.26,0.12,0.62,0,0.75,2.37,4.24,7.86,6.7,33.3,40,0,0
2013-2014,Connor Knapp,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,
2015-2016,Connor Mcdavid,Edmonton,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Connor Murphy,Arizona,73,1060:14:00,4,3,1,7,66,100,148,6.06,0.23,0.17,0.06,0.4,3.73,5.66,8.38,14.8,11.1,25.9,0,0
2013-2014,Connor Murphy,Arizona,30,466:21:00,1,7,3,8,26,35,64,3.85,0.13,0.9,0.39,1.03,3.35,4.5,8.23,4.8,33.3,38.1,0,0
2015-2016,Connor Murphy,Arizona,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Corban Knight,Calgary,7,53:35:00,1,0,0,1,3,4,4,33.33,1.12,0,0,1.12,3.36,4.48,4.48,33.3,0,33.3,0,0
2015-2016,Corey Crawford,Chicago,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Corey Crawford,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,1
2013-2014,Corey Crawford,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,
2012-2013,Corey Crawford,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,1
2011-2012,Corey Crawford,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,
2010-2011,Corey Crawford,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,
2014-2015,Corey Perry,Anaheim,67,940:07:00,22,15,9,37,137,197,261,16.06,1.4,0.96,0.57,2.36,8.74,12.57,16.66,44,30,74,0,0
2013-2014,Corey Perry,Anaheim,81,1160:51:00,31,28,21,59,195,268,335,15.9,1.6,1.45,1.09,3.05,10.08,13.85,17.31,41.9,37.8,79.7,0,0
2012-2013,Corey Perry,Anaheim,44,628:23:00,9,14,9,23,94,128,160,9.57,0.86,1.34,0.86,2.2,8.98,12.22,15.28,27.3,42.4,69.7,0,0
2011-2012,Corey Perry,Anaheim,80,1239:39:00,18,10,8,28,185,265,329,9.73,0.87,0.48,0.39,1.36,8.95,12.83,15.92,46.2,25.6,71.8,0,0
2010-2011,Corey Perry,Anaheim,82,1315:04:00,24,25,15,49,198,271,338,12.12,1.09,1.14,0.68,2.24,9.03,12.36,15.42,39.3,41,80.3,0,0
2015-2016,Corey Perry,Anaheim,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Corey Potter,Calgary,6,54:43:00,0,0,0,0,2,4,5,0,0,0,0,0,2.19,4.39,5.48,0,0,0,0,0
2013-2014,Corey Potter,Boston,19,220:40:00,0,3,2,3,17,18,24,0,0,0.82,0.54,0.82,4.62,4.89,6.53,0,30,30,0,0
2012-2013,Corey Potter,Edmonton,33,463:45:00,3,0,0,3,28,45,68,10.71,0.39,0,0,0.39,3.62,5.82,8.8,16.7,0,16.7,0,0
2011-2012,Corey Potter,Edmonton,62,982:39:00,3,7,3,10,73,101,159,4.11,0.18,0.43,0.18,0.61,4.46,6.17,9.71,9.1,21.2,30.3,0,0
2015-2016,Corey Potter,Calgary,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Corey Tropp,Columbus,61,530:08:00,1,7,4,8,22,36,46,4.55,0.11,0.79,0.45,0.91,2.49,4.07,5.21,9.1,63.6,72.7,0,0
2013-2014,Corey Tropp,Columbus,53,460:37:00,2,9,4,11,34,40,52,5.88,0.26,1.17,0.52,1.43,4.43,5.21,6.77,9.5,42.9,52.4,0,0
2011-2012,Corey Tropp,Buffalo,34,334:59:00,3,5,2,8,32,40,48,9.38,0.54,0.9,0.36,1.43,5.73,7.16,8.6,25,41.7,66.7,0,0
2015-2016,Corey Tropp,Chicago,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cory Conacher,New York Islanders,15,178:09:00,1,2,0,3,19,25,28,5.26,0.34,0.67,0,1.01,6.4,8.42,9.43,12.5,25,37.5,0,0
2013-2014,Cory Conacher,Buffalo,79,889:44:00,4,19,10,23,89,116,145,4.49,0.27,1.28,0.67,1.55,6,7.82,9.78,10.5,50,60.5,0,0
2012-2013,Cory Conacher,Ottawa,47,543:57:00,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30,46.7,76.7,0,0
2013-2014,Cory Emmerton,Detroit,18,134:29:00,0,2,1,2,19,21,25,0,0,0.89,0.45,0.89,8.48,9.37,11.15,0,100,100,0,0
2012-2013,Cory Emmerton,Detroit,48,427:09:00,5,2,1,7,53,66,80,9.43,0.7,0.28,0.14,0.98,7.44,9.27,11.24,45.5,18.2,63.6,0,0
2011-2012,Cory Emmerton,Detroit,71,532:17:00,6,3,1,9,60,81,99,10,0.68,0.34,0.11,1.01,6.76,9.13,11.16,40,20,60,0,0
2013-2014,Cory Sarich,Colorado,54,802:14:00,1,9,1,10,44,67,105,2.27,0.07,0.67,0.07,0.75,3.29,5.01,7.85,2.9,26.5,29.4,0,0
2012-2013,Cory Sarich,Calgary,28,381:47:00,0,2,1,2,13,18,35,0,0,0.31,0.16,0.31,2.04,2.83,5.5,0,22.2,22.2,0,0
2011-2012,Cory Sarich,Calgary,62,908:45:00,1,6,2,7,34,56,100,2.94,0.07,0.4,0.13,0.46,2.24,3.7,6.6,3.7,22.2,25.9,0,0
2010-2011,Cory Sarich,Calgary,76,1160:22:00,4,12,4,16,67,102,148,5.97,0.21,0.62,0.21,0.83,3.46,5.27,7.65,8.2,24.5,32.7,0,0
2015-2016,Cory Schneider,New Jersey,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Cory Schneider,New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,
2013-2014,Cory Schneider,New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,
2012-2013,Cory Schneider,Vancouver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,
2011-2012,Cory Schneider,Vancouver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,
2010-2011,Cory Schneider,Vancouver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929,
2010-2011,Cory Stillman,Carolina,65,852:39:00,9,17,11,26,89,129,169,10.11,0.63,1.2,0.77,1.83,6.26,9.08,11.89,23.1,43.6,66.7,0,0
2014-2015,Craig Adams,Pittsburgh,70,492:57:00,1,5,2,6,44,57,67,2.27,0.12,0.61,0.24,0.73,5.36,6.94,8.15,10,50,60,0,0
2013-2014,Craig Adams,Pittsburgh,82,758:40:00,4,4,3,8,69,90,115,5.8,0.32,0.32,0.24,0.63,5.46,7.12,9.09,30.8,30.8,61.5,0,0
2012-2013,Craig Adams,Pittsburgh,48,397:48:00,1,6,3,7,39,51,63,2.56,0.15,0.91,0.45,1.06,5.88,7.69,9.5,11.1,66.7,77.8,0,0
2011-2012,Craig Adams,Pittsburgh,82,679:21:00,5,10,5,15,66,90,116,7.58,0.44,0.88,0.44,1.32,5.83,7.95,10.25,23.8,47.6,71.4,0,0
2010-2011,Craig Adams,Pittsburgh,80,710:32:00,1,7,2,8,73,89,114,1.37,0.08,0.59,0.17,0.68,6.16,7.52,9.63,6.7,46.7,53.3,0,0
2015-2016,Craig Anderson,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Craig Anderson,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923,
2013-2014,Craig Anderson,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,
2012-2013,Craig Anderson,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941,
2011-2012,Craig Anderson,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,
2010-2011,Craig Anderson,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913,
2010-2011,Craig Conroy,Calgary,18,123:30:00,2,0,0,2,11,16,20,18.18,0.97,0,0,0.97,5.34,7.77,9.72,66.7,0,66.7,0,0
2014-2015,Craig Cunningham,Arizona,51,473:07:00,2,4,3,6,49,61,71,4.08,0.25,0.51,0.38,0.76,6.21,7.74,9,22.2,44.4,66.7,0,0
2010-2011,Craig Rivet,Columbus,37,449:31:00,2,2,1,4,27,37,57,7.41,0.27,0.27,0.13,0.53,3.6,4.94,7.61,11.8,11.8,23.5,0,0
2014-2015,Craig Smith,Nashville,82,1028:57:00,16,17,8,33,186,246,313,8.6,0.93,0.99,0.47,1.92,10.85,14.34,18.25,27.1,28.8,55.9,0,0
2013-2014,Craig Smith,Nashville,79,1074:48:00,14,24,14,38,166,239,304,8.43,0.78,1.34,0.78,2.12,9.27,13.34,16.97,27.5,47.1,74.5,0,0
2012-2013,Craig Smith,Nashville,44,507:08:00,2,3,2,5,70,87,112,2.86,0.24,0.35,0.24,0.59,8.28,10.29,13.25,16.7,25,41.7,0,0
2011-2012,Craig Smith,Nashville,72,826:14:00,8,15,11,23,130,189,232,6.15,0.58,1.09,0.8,1.67,9.44,13.72,16.85,27.6,51.7,79.3,0,0
2015-2016,Craig Smith,Nashville,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Cristopher Nilstorp,Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,
2012-2013,Cristopher Nilstorp,Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,
2014-2015,Curtis Glencross,Washington,71,919:36:00,8,12,6,20,84,116,151,9.52,0.52,0.78,0.39,1.3,5.48,7.57,9.85,27.6,41.4,69,0,0
2013-2014,Curtis Glencross,Calgary,38,526:47:00,7,6,2,13,62,89,120,11.29,0.8,0.68,0.23,1.48,7.06,10.14,13.67,41.2,35.3,76.5,0,0
2012-2013,Curtis Glencross,Calgary,40,551:46:00,10,7,4,17,74,107,140,13.51,1.09,0.76,0.43,1.85,8.05,11.64,15.22,50,35,85,0,0
2011-2012,Curtis Glencross,Calgary,67,872:11:00,15,14,8,29,79,98,129,18.99,1.03,0.96,0.55,2,5.43,6.74,8.87,40.5,37.8,78.4,0,0
2010-2011,Curtis Glencross,Calgary,79,960:04:00,17,16,10,33,106,147,187,16.04,1.06,1,0.62,2.06,6.62,9.19,11.69,40.5,38.1,78.6,0,0
2014-2015,Curtis Lazar,Ottawa,67,799:22:00,6,6,4,12,89,120,158,6.74,0.45,0.45,0.3,0.9,6.68,9.01,11.86,19.4,19.4,38.7,0,0
2015-2016,Curtis Lazar,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2015-2016,Curtis Mcelhinney,Columbus,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Curtis Mcelhinney,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,
2013-2014,Curtis Mcelhinney,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909,
2011-2012,Curtis Mcelhinney,Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,
2010-2011,Curtis Mcelhinney,Anaheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,
2014-2015,Curtis Mckenzie,Dallas,36,409:10:00,4,1,1,5,41,66,77,9.76,0.59,0.15,0.15,0.73,6.01,9.68,11.29,50,12.5,62.5,0,0
2011-2012,Curtis Sanford,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,
2014-2015,Dainius Zubrus,New Jersey,74,940:07:00,4,4,2,8,64,83,95,6.25,0.26,0.26,0.13,0.51,4.08,5.3,6.06,16.7,16.7,33.3,0,0
2013-2014,Dainius Zubrus,New Jersey,82,1183:01:00,11,11,5,22,109,143,174,10.09,0.56,0.56,0.25,1.12,5.53,7.25,8.82,27.5,27.5,55,0,0
2012-2013,Dainius Zubrus,New Jersey,22,290:31:00,2,3,1,5,17,27,32,11.76,0.41,0.62,0.21,1.03,3.51,5.58,6.61,28.6,42.9,71.4,0,0
2011-2012,Dainius Zubrus,New Jersey,82,1166:40:00,10,19,13,29,84,111,129,11.9,0.51,0.98,0.67,1.49,4.32,5.71,6.63,20.8,39.6,60.4,0,0
2010-2011,Dainius Zubrus,New Jersey,79,1064:40:00,11,12,6,23,89,121,150,12.36,0.62,0.68,0.34,1.3,5.02,6.82,8.45,31.4,34.3,65.7,0,0
2014-2015,Dale Weise,Montreal,79,891:21:00,9,18,15,27,88,119,150,10.23,0.61,1.21,1.01,1.82,5.92,8.01,10.1,22.5,45,67.5,0,0
2013-2014,Dale Weise,Montreal,61,495:32:00,4,10,5,14,38,53,62,10.53,0.48,1.21,0.61,1.7,4.6,6.42,7.51,22.2,55.6,77.8,0,0
2012-2013,Dale Weise,Vancouver,40,341:31:00,3,2,2,5,32,43,51,9.38,0.53,0.35,0.35,0.88,5.62,7.55,8.96,60,40,100,0,0
2011-2012,Dale Weise,Vancouver,68,547:12:00,4,4,3,8,48,63,82,8.33,0.44,0.44,0.33,0.88,5.26,6.91,8.99,30.8,30.8,61.5,0,0
2010-2011,Dale Weise,New York Rangers,10,63:53:00,0,0,0,0,9,11,12,0,0,0,0,0,8.45,10.33,11.27,0,0,0,0,0
2015-2016,Dale Weise,Montreal,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Dalton Prout,Columbus,63,976:02:00,0,8,4,8,60,73,121,0,0,0.49,0.25,0.49,3.69,4.49,7.44,0,29.6,29.6,0,0
2013-2014,Dalton Prout,Columbus,49,738:23:00,2,4,1,6,49,65,100,4.08,0.16,0.33,0.08,0.49,3.98,5.28,8.13,9.5,19,28.6,0,0
2012-2013,Dalton Prout,Columbus,28,462:35:00,1,4,0,5,13,24,42,7.69,0.13,0.52,0,0.65,1.69,3.11,5.45,5.9,23.5,29.4,0,0
2011-2012,Dalton Prout,Columbus,5,56:33:00,0,0,0,0,2,3,4,0,0,0,0,0,2.12,3.18,4.24,0,0,0,0,0
2015-2016,Dalton Prout,Columbus,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Damien Brunner,New Jersey,17,199:20:00,2,1,1,3,20,30,41,10,0.6,0.3,0.3,0.9,6.02,9.03,12.34,50,25,75,0,0
2013-2014,Damien Brunner,New Jersey,60,665:49:00,7,7,6,14,88,124,158,7.95,0.63,0.63,0.54,1.26,7.93,11.17,14.24,31.8,31.8,63.6,0,0
